*[1]	Rank & Title	IMDb Rating	Your Rating	*[5]
                                 	       79.       M         (1931)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       80.       Dangal         (2016)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       81.       Requiem for a Dream         (2000)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       82.       Amadeus         (1984)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       83.       Taare Zameen Par - Ein Stern auf Erden         (2007)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       84.       Lawrence of Arabia         (1962)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       85.       Eternal Sunshine of the Spotless Mind         (2004)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       86.       A Clockwork Orange         (1971)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       87.       Amélie         (2001)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       88.       3 Idiots         (2009)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       89.       Double Indemnity         (1944)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       90.       2001: A Space Odyssey         (1968)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       91.       Toy Story         (1995)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       92.       Taxi Driver         (1976)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       93.       Singin' in the Rain         (1952)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       94.       Full Metal Jacket         (1987)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       95.       Inglourious Basterds         (2009)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       96.       To Kill a Mockingbird         (1962)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       97.       Bicycle Thieves         (1948)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       98.       The Kid         (1921)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       99.       The Sting         (1973)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       100.       Toy Story 3         (2010)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       101.       Good Will Hunting         (1997)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       102.       The Hunt         (2012)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       103.       Snatch         (2000)     	             8.3     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       104.       Monty Python and the Holy Grail         (1975)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       105.       Scarface         (1983)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       106.       For a Few Dollars More         (1965)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       107.       L.A. Confidential         (1997)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       108.       The Apartment         (1960)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       109.       Metropolis         (1927)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       110.       A Separation         (2011)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       111.       Indiana Jones and the Last Crusade         (1989)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       112.       Rashomon         (1950)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       113.       Up         (2009)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       114.       All About Eve         (1950)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       115.       Yojimbo         (1961)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       116.       Batman Begins         (2005)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       117.       Some Like It Hot         (1959)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       118.       Unforgiven         (1992)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       119.       Downfall         (2004)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       120.       The Treasure of the Sierra Madre         (1948)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       121.       Die Hard         (1988)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       122.       Heat         (1995)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       123.       Ikiru         (1952)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       124.       Raging Bull         (1980)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       125.       Incendies         (2010)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       126.       The Great Escape         (1963)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       127.       Mein Vater und mein Sohn         (2005)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       128.       Children of Heaven         (1997)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       129.       Pan's Labyrinth         (2006)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       130.       The Third Man         (1949)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       131.       Chinatown         (1974)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       132.       My Neighbor Totoro         (1988)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       133.       Ran         (1985)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       134.       Howl's Moving Castle         (2004)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       135.       Judgment at Nuremberg         (1961)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       136.       The Secret in Their Eyes         (2009)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       137.       The Gold Rush         (1925)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       138.       The Bridge on the River Kwai         (1957)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       139.       Three Billboards Outside Ebbing, Missouri         (2017)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       140.       A Beautiful Mind         (2001)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       141.       On the Waterfront         (1954)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       142.       Lock, Stock and Two Smoking Barrels         (1998)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       143.       Casino         (1995)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       144.       The Seventh Seal         (1957)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       145.       Inside Out         (2015)     	             8.2     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       146.       Room         (2015)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       147.       The Elephant Man         (1980)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       148.       Mr. Smith Goes to Washington         (1939)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       149.       The Wolf of Wall Street         (2013)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       150.       V for Vendetta         (2005)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       151.       Warrior         (2011)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       152.       Blade Runner         (1982)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       153.       The General         (1926)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       154.       Wild Strawberries         (1957)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       155.       Dial M for Murder         (1954)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       156.       Trainspotting         (1996)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       157.       No Country for Old Men         (2007)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       158.       There Will Be Blood         (2007)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       159.       The Sixth Sense         (1999)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       160.       Gone with the Wind         (1939)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       161.       The Thing         (1982)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       162.       Fargo         (1996)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       163.       Gran Torino         (2008)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       164.       The Deer Hunter         (1978)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       165.       Finding Nemo         (2003)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       166.       Come and See         (1985)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       167.       Sherlock Jr.         (1924)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       168.       The Big Lebowski         (1998)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       169.       Kill Bill: Vol. 1         (2003)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       170.       Shutter Island         (2010)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       171.       Cool Hand Luke         (1967)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       172.       Rebecca         (1940)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       173.       Tokyo Story         (1953)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       174.       Hacksaw Ridge         (2016)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       175.       Mary & Max, oder - Schrumpfen Schafe, wenn es regnet         (2009)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       176.       A Star Is Born         (2018)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       177.       Sunrise         (1927)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       178.       Gone Girl         (2014)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       179.       How to Train Your Dragon         (2010)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       180.       Wild Tales: Jeder dreht mal durch!         (2014)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       181.       Jurassic Park         (1993)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       182.       Into the Wild         (2007)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       183.       The Bandit         (1996)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       184.       Life of Brian         (1979)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       185.       It Happened One Night         (1934)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       186.       In the Name of the Father         (1993)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       187.       Platoon         (1986)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       188.       The Grand Budapest Hotel         (2014)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       189.       Stand by Me         (1986)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       190.       The Truman Show         (1998)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       191.       Network         (1976)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       192.       Stalker         (1979)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       193.       Hotel Rwanda         (2004)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       194.       Ben-Hur         (1959)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       195.       Persona         (1966)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       196.       Memories of Murder         (2003)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       197.       12 Years a Slave         (2013)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       198.       Andrei Rublev         (1966)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       199.       The Wages of Fear         (1953)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       200.       Million Dollar Baby         (2004)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       201.       Rang De Basanti - Die Farbe Safran         (2006)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       202.       The Passion of Joan of Arc         (1928)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       203.       Rush         (2013)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       204.       Mad Max: Fury Road         (2015)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       205.       Before Sunrise         (1995)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       206.       The 400 Blows         (1959)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       207.       Spotlight         (2015)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       208.       Hachi: A Dog's Tale         (2009)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       209.       Logan         (2017)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       210.       Prisoners         (2013)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       211.       Amores Perros         (2000)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       212.       The Princess Bride         (1987)     	             8.1     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       213.       Nausicaä of the Valley of the Wind         (1984)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       214.       Catch Me If You Can         (2002)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       215.       Butch Cassidy and the Sundance Kid         (1969)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       216.       Harry Potter and the Deathly Hallows: Part 2         (2011)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       217.       Rocky         (1976)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       218.       Barry Lyndon         (1975)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       219.       Monsters, Inc.         (2001)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       220.       The Grapes of Wrath         (1940)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       221.       The Maltese Falcon         (1941)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       222.       Diabolique         (1955)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       223.       Donnie Darko         (2001)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       224.       Sanjuro         (1962)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       225.       The Terminator         (1984)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       226.       Gandhi         (1982)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       227.       Dead Poets Society         (1989)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       228.       La Haine         (1995)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       229.       Groundhog Day         (1993)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       230.       Blade Runner 2049         (2017)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       231.       The Nights of Cabiria         (1957)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
                                 	       232.       La La Land         (2016)     	             8.0     	                             12345678910                                                        NOT YET RELEASED                                        Seen                   	              
